name,price,reviews
Coleman Cobra 2 Tent,"179,95",[]
Nordisk Reisa 6 Familietent,"1.299,95",[]
Nordisk Reisa 4 Tent ,"949,95",[]
Coleman Cobra 3-Persoonstent,"239,95",[]
Jack Wolfskin Tent Eclipse II,"149,95","['good_points: Uitstekende prijs-kwaliteitverhouding, Lekker ruim voor een 2p-tent, eenvoudig en snel op te zetten, klassiek bewezen concept, ventilatie in het dak, 2 ingangen, neemt niet te veel ruimte in (geen onnodige bergruimte onder de buitentent., bad_points: Tentstokken zijn relatief zwaar (geen alu), dus niet voor rugzakkampeerders, ingang heeft een vrij hoge drempel, staat niet echt fraai strak']"
MSR Hubba Hubba NX 2-Persoons Trekkerstent,"539,95","['good_points: Geweldig, licht, mooi, erg leuk :-), bad_points: Niks', 'good_points: Erg licht, makkelijk op te zetten en af te breken. Past makkelijk in je rugtas. Handige vakjes voor wat kleine spullen en lusjes om bv lampje op te hangen., bad_points: Nog niet gevonden.', 'good_points: Ligt en compact, bad_points: Nog niet gebruikt.']"
MSR Elixir 2-Persoonstent,"349,95","['good_points: gebruiksgemak, bad_points: None', 'good_points: Solide., bad_points: Nee', 'good_points: Slim ontworpen eenvoudig en praktisch in gebruik, bad_points: Beschermflap komt makkelijk tussen de rits']"
Nordisk Svalbard PU 1-Persoons Tunneltent,"249,95","['good_points: Eenvoudig opzetten en prima ruime voor 1 persoons tentje. Ventilatie oké, haringen en scheerlijnen ook net spul. Zakken binnen handig., bad_points: Scheerlijn beter zichtbare kleur is handig op de camping. Super klein is ie niet ingepakt, maar voor mij klein genoeg. Kan altijd beter en lichter maar dan kost het ook veel meer…', 'good_points: Snel in gebruik, bad_points: De tent is te kort voor als je lang bent.', 'good_points: Fijne tent! Snel op te zetten en af te breken. Compact en licht genoeg om in backpack mee te nemen. Goed wind- en waterdicht gebleken tijdens twee weken ijsland (waar het toch behoorlijk hard kan waaien), bad_points: ""Haringen zijn licht :) maar verbuigen snel. \\nHet tentdoek van het middenstuk (tussen de twee bogen) plakt bij harde wind en regen makkelijk tegen de binnentent aan. Lekt dan niet, maar hier was een extra boogje/scheerlijn wel handig geweest om dit strak te houden.""']"
MSR Footprint Universal 2 Person,"57,95","['good_points: Kwaliteit!, bad_points: Nog niet', 'good_points: Top\\uf44d, bad_points: None', 'good_points: Hij is wel erg licht, bad_points: De touwtjes zijn zeker niet handig schuift teveel \\nKan beter een goedkopere er onder leggen']"
Vango Hop 200 Eco Tent,"114,95",[]
Coleman Kobuk Valley Plus 3-Persoons Koepeltent,"169,95","['good_points: Alles, bad_points: Nee', 'good_points: Eenvoudig op te zetten, goed ontworpen, bad_points: In de omschrijving staat dat de binnentent 2.10 meter lang is. Ik ben 1.85 meter en zowel mijn voeten als hoofd raken de binnentent. Ik moet dus schuin slapen wat moet prettig is', 'good_points: dat het donker blijft in de tent, bad_points: te klein, er staat 3 persoons maar met twee personen heb je zelfs geen plek meer om een tas neer te zetten en het grondzeil in de voortent loopt vol bij regen']"
MSR Elixir 1-Persoons Tent,"269,95","['good_points: Snel opgezet en afgebroken, bad_points: None', 'good_points: Fijn op te zetten, licht in gewicht en compact in formaat, bad_points: None', 'good_points: Lichtgewicht, makkelijk en snel op te zetten., bad_points: Enigzins condens aan binnenkant tent, dus de binnentent had nog beter ademend kunnen zijn.']"
Nemo Dagger Osmo 2P Tent ,"599,95","['good_points: ""- Voldoende ruimte\\n- Zeer licht, ideaal voor backpacking met zn tweetjes. \\n- Snel op te zetten"", bad_points: Voor dit geld hadden ze het grondzeil er wel bij mogen doen.']"
MSR Elixir 3-Persoons Tent  ,"419,95","['good_points: Makkelijk op te zetten, redelijk goede ventilatie en ruime opbergnetten aan hoofd/voeteneinde \\nVoldoende ruimte in voortent voor 2 rugzakken, losse  uitrusting en schoenen \\nMooi, strak ontwerp, bad_points: Het is een tent voor 3 personen, dit past maar is wel krap, matjes moeten smaller zijn dan 60cm en bij 3 grote mannen beter om en om te liggen en de binnentent open te ritsen\\nEen bagagenet om in het dak van de binnentent te bevestigen zou prettig zijn als deze was bijgeleverd voor extra opbergruimte  als er 3 personen in moeten passen', 'good_points: Lichtgewicht tent die heel makkelijk op te zetten is. Hij staat binnen 5 minuten! Een pluspunt is dat de tent ook zonder het waterdichte gedeelte gebruikt kan worden op de droge en warme dagen, je slaapt dan onder de sterrenhemel; wie wil dat nou niet :), al met al heel blij met mijn aankoop!, bad_points: Geen', 'good_points: Ik heb bewust een wat dikkere maar toch heel licht matje genomen want ik slaap graag op mijn zij. Met 1.72m en 75kg is dat geen enkel probleem en zeer confortabel. \\n\\nHet matje is ook lekker snel in te pakken. Plug er uit en in 1x oprollen., bad_points: Die heb ik nog niet kunnen ontdekken. Ik had niet opgelet en had per ongeluk geen zelf opblaasbare gekocht (dat is dit dus niet). Naderhand denk ik dat dit een positief punt bleek te zijn. Opblazen blijkt toch heel snel te gaan en vooral het inpakken gaat echt super. Inpakken is voor mij juist het moment dat ik wil dat dingen snel gaan.']"
Umefa Rotspen 23 cm Haring ,"0,80","['good_points: Snelle en correcte bezorging, bad_points: Verschillende pennen hebben een erg lange dwarspen wat er lastig is.\\n\\nHeb nog geen pennen gebruikt.', 'good_points: Ze zijn wat ik wilde sterk en goed, bad_points: De pinnen horen een T model te zijn maar ik had er 1 waar het een l was terwijl de verkoopster ze voor mijn had gepakt en geteld had ze dat moeten zien vind ik', 'good_points: Gewoon goed, bad_points: Nee']"
